image_id,style,building_name,source,source_url,original_filename,resolution,aspect_ratio,architectural_elements,materials,license,copyright,split,caption
ARC_0011,Brutalism architecture,20241013 171013044 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/a7/20241013_171013044_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 171013044 Milutina Milankovića.jpg,1024x1360,0.75,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0012,Brutalism architecture,20241013 171550375 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/20241013_171550375_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 171550375 Milutina Milankovića.jpg,1024x1360,0.75,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0013,Brutalism architecture,20241013 164737561 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/f/f9/20241013_164737561_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 164737561 Milutina Milankovića.jpg,1360x1024,1.33,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0014,Brutalism architecture,20241013 163115508 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/9/9c/20241013_163115508_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 163115508 Milutina Milankovića.jpg,1024x1360,0.75,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0015,Brutalism architecture,20241013 162541625 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/2/20/20241013_162541625_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 162541625 Milutina Milankovića.jpg,1024x1360,0.75,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0016,Brutalism architecture,106  110 James Street St. Catharines,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/c/ce/106_-_110_James_Street%2C_St._Catharines.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:106 - 110 James Street, St. Catharines.jpg",1365x1024,1.33,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0017,Brutalism architecture,20150630 former library Doetinchem 01,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/68/2015-06-30_former_library_Doetinchem_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:2015-06-30 former library Doetinchem 01.jpg,1365x1024,1.33,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0018,Brutalism architecture,20150630 former library Doetinchem 03,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/8/8c/2015-06-30_former_library_Doetinchem_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:2015-06-30 former library Doetinchem 03.jpg,1365x1024,1.33,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0019,Brutalism architecture,Abraham Lincoln Building National Agricultural Library,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/d/d7/Abraham_Lincoln_Building%2C_National_Agricultural_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:Abraham Lincoln Building, National Agricultural Library.jpg",1024x1111,0.92,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0020,Brutalism architecture,Blok mieszkalny SPN,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/0/09/Blok_mieszkalny_SPN.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Blok mieszkalny SPN.jpg,1024x1365,0.75,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0021,Brutalism architecture,Berlin Wedding bayer parkhaus 14.11.2015 134001,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6c/Berlin_Wedding_bayer_parkhaus_14.11.2015_13-40-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Berlin Wedding bayer parkhaus 14.11.2015 13-40-01.jpg,1301x1024,1.27,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0022,Brutalism architecture,Az új központ  panoramio,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/e/ee/Az_%C3%BAj_k%C3%B6zpont_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Az új központ - panoramio.jpg,1365x1024,1.33,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 3.0,Wikimedia Commons / Architectural Styles Dataset,train,"Brutalist architecture, monolithic raw concrete facade with visible board-marked texture, massive geometric cantilevered volumes, deep-set rectangular window embrasures, bold structural piers, strong geometric shadow patterns, natural daylight, architectural photography"
ARC_0029,Bauhaus architecture,Bauhaus architecture Building specimen 1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003917.jpg,1000x1000,1.0,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0030,Bauhaus architecture,Bauhaus architecture Building specimen 2,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003870.jpg,1000x1000,1.0,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0031,Bauhaus architecture,Bauhaus architecture Building specimen 3,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003920.jpg,1000x953,1.05,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0032,Bauhaus architecture,Bauhaus architecture Building specimen 4,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003922.jpg,936x936,1.0,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0033,Bauhaus architecture,Bauhaus architecture Building specimen 5,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003921.jpg,789x1000,0.79,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0034,Bauhaus architecture,Bauhaus architecture Building specimen 6,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003958.jpg,1024x768,1.33,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0035,Bauhaus architecture,Bauhaus architecture Building specimen 7,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003955.jpg,1024x768,1.33,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0036,Bauhaus architecture,Bauhaus architecture Building specimen 8,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003940.jpg,1024x768,1.33,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0037,Bauhaus architecture,Bauhaus architecture Building specimen 9,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003953.jpg,1024x768,1.33,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0038,Bauhaus architecture,Bauhaus architecture Building specimen 10,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003919.jpg,1024x768,1.33,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0039,Bauhaus architecture,Bauhaus architecture Building specimen 11,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003890.jpg,768x1024,0.75,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0040,Bauhaus architecture,Bauhaus architecture Building specimen 12,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003928.jpg,1024x768,1.33,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0041,Bauhaus architecture,Bauhaus architecture Building specimen 13,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003876.jpg,1024x768,1.33,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0042,Bauhaus architecture,Bauhaus architecture Building specimen 14,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003964.jpg,768x1024,0.75,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0043,Bauhaus architecture,Bauhaus architecture Building specimen 15,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003923.jpg,1036x768,1.35,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0044,Bauhaus architecture,Bauhaus architecture Building specimen 16,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003900.jpg,1045x768,1.36,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0045,Bauhaus architecture,Bauhaus architecture Building specimen 17,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003930.jpg,768x768,1.0,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0046,Bauhaus architecture,Bauhaus architecture Building specimen 18,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003873.jpg,1067x768,1.39,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0047,Bauhaus architecture,Bauhaus architecture Building specimen 19,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003948.jpg,1067x768,1.39,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0048,Bauhaus architecture,Bauhaus architecture Building specimen 20,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003883.jpg,1068x768,1.39,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
ARC_0049,Bauhaus architecture,Bauhaus architecture Building specimen 21,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003864.jpg,1076x768,1.4,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, continuous glass curtain wall, flat roof terrace, unornamented cubic building massing, crisp geometric corners, clear natural lighting, architectural photography"
