image_id,style,building_name,source,source_url,original_filename,resolution,aspect_ratio,architectural_elements,materials,license,copyright,keep,removal_reason,split,caption,tokens_detected
ARC_0011,Brutalism architecture,20241013 171013044 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/a7/20241013_171013044_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 171013044 Milutina Milankovića.jpg,1024x1360,0.75,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist urban building, tiered concrete terraces, heavy structural piers, recessed continuous ribbon glazing, unadorned concrete surfaces, daylight, street view, architectural photography","concrete terraces, structural piers, ribbon glazing"
ARC_0012,Brutalism architecture,20241013 171550375 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/20241013_171550375_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 171550375 Milutina Milankovića.jpg,1024x1360,0.75,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist institutional complex, bold cantilevered concrete canopy, prominent concrete brise-soleil sun louvers, modular facade grid, natural daylight, architectural photography","cantilevered canopy, brise-soleil, modular grid, concrete"
ARC_0013,Brutalism architecture,20241013 164737561 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/f/f9/20241013_164737561_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 164737561 Milutina Milankovića.jpg,1360x1024,1.33,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist civic center, ribbed bush-hammered concrete walls, dramatic angular geometries, recessed entrance portal, hard-edged structural forms, architectural photography","bush-hammered concrete, angular geometry, recessed portal"
ARC_0014,Brutalism architecture,20241013 163115508 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/9/9c/20241013_163115508_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 163115508 Milutina Milankovića.jpg,1024x1360,0.75,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"monumental brutalist facade, waffle slab soffit, heavy board-formed concrete colonnade, deep shadow articulation, sharp geometric edges, clear blue sky, architectural photography","waffle slab, concrete colonnade, board-formed concrete, geometric edges"
ARC_0015,Brutalism architecture,20241013 162541625 Milutina Milankovića,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/2/20/20241013_162541625_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:20241013 162541625 Milutina Milankovića.jpg,1024x1360,0.75,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"monumental brutalist civic building, board-marked raw concrete facade, heavy cantilevered upper volumes, deep-set window embrasures, geometric shadow patterns, clear sky, architectural photography","board-marked concrete, heavy geometric masses, cantilevered volumes, deep-set windows"
ARC_0016,Brutalism architecture,106  110 James Street St. Catharines,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/c/ce/106_-_110_James_Street%2C_St._Catharines.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:106 - 110 James Street, St. Catharines.jpg",1365x1024,1.33,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist architecture, massive exposed concrete tower, repetitive geometric modular facade, recessed narrow slit windows, weathered aggregate texture, direct daylight, architectural photography","exposed concrete, modular facade, recessed windows, aggregate texture"
ARC_0017,Brutalism architecture,20150630 former library Doetinchem 01,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/68/2015-06-30_former_library_Doetinchem_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:2015-06-30 former library Doetinchem 01.jpg,1365x1024,1.33,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist exterior facade, monolithic sculpted concrete structure, angular projecting staircase volume, textured formwork impressions, overcast natural lighting, architectural photography","sculpted concrete, angular volumes, formwork impressions"
ARC_0018,Brutalism architecture,20150630 former library Doetinchem 03,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/8/8c/2015-06-30_former_library_Doetinchem_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:2015-06-30 former library Doetinchem 03.jpg,1365x1024,1.33,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist urban building, tiered concrete terraces, heavy structural piers, recessed continuous ribbon glazing, unadorned concrete surfaces, daylight, street view, architectural photography","concrete terraces, structural piers, ribbon glazing"
ARC_0019,Brutalism architecture,Abraham Lincoln Building National Agricultural Library,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/d/d7/Abraham_Lincoln_Building%2C_National_Agricultural_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:Abraham Lincoln Building, National Agricultural Library.jpg",1024x1111,0.92,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist institutional complex, bold cantilevered concrete canopy, prominent concrete brise-soleil sun louvers, modular facade grid, natural daylight, architectural photography","cantilevered canopy, brise-soleil, modular grid, concrete"
ARC_0020,Brutalism architecture,Blok mieszkalny SPN,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/0/09/Blok_mieszkalny_SPN.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Blok mieszkalny SPN.jpg,1024x1365,0.75,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"brutalist civic center, ribbed bush-hammered concrete walls, dramatic angular geometries, recessed entrance portal, hard-edged structural forms, architectural photography","bush-hammered concrete, angular geometry, recessed portal"
ARC_0021,Brutalism architecture,Berlin Wedding bayer parkhaus 14.11.2015 134001,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6c/Berlin_Wedding_bayer_parkhaus_14.11.2015_13-40-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Berlin Wedding bayer parkhaus 14.11.2015 13-40-01.jpg,1301x1024,1.27,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"monumental brutalist facade, waffle slab soffit, heavy board-formed concrete colonnade, deep shadow articulation, sharp geometric edges, clear blue sky, architectural photography","waffle slab, concrete colonnade, board-formed concrete, geometric edges"
ARC_0022,Brutalism architecture,Az új központ  panoramio,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/e/ee/Az_%C3%BAj_k%C3%B6zpont_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Az új központ - panoramio.jpg,1365x1024,1.33,cantilevered concrete volumes;deep-set windows;raw concrete finish,board-marked concrete;glass,CC BY-SA 3.0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"monumental brutalist civic building, board-marked raw concrete facade, heavy cantilevered upper volumes, deep-set window embrasures, geometric shadow patterns, clear sky, architectural photography","board-marked concrete, heavy geometric masses, cantilevered volumes, deep-set windows"
ARC_0023,Brutalism architecture,BenGurionUniversity,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/be/BenGurionUniversity.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:BenGurionUniversity.jpg,1365x1024,1.33,exposed concrete tower;modular grid;recessed windows,reinforced concrete;glass,CC BY-SA 2.0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"brutalist architecture, massive exposed concrete tower, repetitive geometric modular facade, recessed narrow slit windows, weathered aggregate texture, direct daylight, architectural photography","exposed concrete, modular facade, recessed windows, aggregate texture"
ARC_0024,Brutalism architecture,Biberacher Straße 3993 UlmWiblingen,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/b0/Biberacher_Stra%C3%9Fe_39-93_%28Ulm-Wiblingen%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Biberacher Straße 39-93 (Ulm-Wiblingen).jpg,1820x1024,1.78,monolithic sculpted concrete;projecting staircase,cast-in-place concrete,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,val,"brutalist exterior facade, monolithic sculpted concrete structure, angular projecting staircase volume, textured formwork impressions, overcast natural lighting, architectural photography","sculpted concrete, angular volumes, formwork impressions"
ARC_0025,Brutalism architecture,Aluštan kaupunginvaltuuston rakennus,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/Alu%C5%A1tan_kaupunginvaltuuston_rakennus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Aluštan kaupunginvaltuuston rakennus.jpg,1365x1024,1.33,tiered concrete terraces;structural piers;ribbon glazing,concrete;steel;glass,Public domain,Wikimedia Commons / Architectural Styles Dataset,True,,val,"brutalist urban building, tiered concrete terraces, heavy structural piers, recessed continuous ribbon glazing, unadorned concrete surfaces, daylight, street view, architectural photography","concrete terraces, structural piers, ribbon glazing"
ARC_0026,Brutalism architecture,Batten Arts and Letters building.JPG,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/67/Batten_Arts_and_Letters_building.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:Batten Arts and Letters building.JPG,1024x1365,0.75,cantilevered canopy;brise-soleil louvers;modular grid,concrete;aluminum,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"brutalist institutional complex, bold cantilevered concrete canopy, prominent concrete brise-soleil sun louvers, modular facade grid, natural daylight, architectural photography","cantilevered canopy, brise-soleil, modular grid, concrete"
ARC_0027,Brutalism architecture,1180 S Beverly Drive Los Angeles,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/64/1180_S_Beverly_Drive%2C_Los_Angeles.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"File:1180 S Beverly Drive, Los Angeles.jpg",1024x1316,0.78,bush-hammered concrete;angular geometry;recessed portal,bush-hammered concrete;glass,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"brutalist civic center, ribbed bush-hammered concrete walls, dramatic angular geometries, recessed entrance portal, hard-edged structural forms, architectural photography","bush-hammered concrete, angular geometry, recessed portal"
ARC_0028,Brutalism architecture,720 Spadina Avenue.JPG,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/7/7b/720_Spadina_Avenue.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,File:720 Spadina Avenue.JPG,1024x1240,0.83,waffle slab soffit;concrete colonnade;deep shadows,board-formed concrete,CC BY-SA 3.0,Wikimedia Commons / Architectural Styles Dataset,True,,test,"monumental brutalist facade, waffle slab soffit, heavy board-formed concrete colonnade, deep shadow articulation, sharp geometric edges, clear blue sky, architectural photography","waffle slab, concrete colonnade, board-formed concrete, geometric edges"
ARC_0029,Bauhaus architecture,Bauhaus architecture Building specimen 1,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003917.jpg,1000x1000,1.00,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0030,Bauhaus architecture,Bauhaus architecture Building specimen 2,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003870.jpg,1000x1000,1.00,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0031,Bauhaus architecture,Bauhaus architecture Building specimen 3,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003920.jpg,1000x953,1.05,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
ARC_0032,Bauhaus architecture,Bauhaus architecture Building specimen 4,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003922.jpg,936x936,1.00,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus style institutional facade, asymmetric planar composition, steel frame entrance canopy, large industrial workshop glazing, smooth light-gray plaster, architectural photography","asymmetric composition, steel canopy, industrial glazing, smooth plaster"
ARC_0033,Bauhaus architecture,Bauhaus architecture Building specimen 5,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003921.jpg,789x1000,0.79,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus residential block, cubic white massing, recessed balcony niches, horizontal corner ribbon windows, flat parapet roof, bright natural sunlight, architectural photography","cubic massing, corner ribbon windows, recessed balconies, flat roof"
ARC_0034,Bauhaus architecture,Bauhaus architecture Building specimen 6,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003958.jpg,1024x768,1.33,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0035,Bauhaus architecture,Bauhaus architecture Building specimen 7,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003955.jpg,1024x768,1.33,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0036,Bauhaus architecture,Bauhaus architecture Building specimen 8,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003940.jpg,1024x768,1.33,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
ARC_0037,Bauhaus architecture,Bauhaus architecture Building specimen 9,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003953.jpg,1024x768,1.33,asymmetric composition;steel canopy;industrial glazing,plaster;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus style institutional facade, asymmetric planar composition, steel frame entrance canopy, large industrial workshop glazing, smooth light-gray plaster, architectural photography","asymmetric composition, steel canopy, industrial glazing, smooth plaster"
ARC_0038,Bauhaus architecture,Bauhaus architecture Building specimen 10,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003919.jpg,1024x768,1.33,cubic massing;corner ribbon windows;recessed balconies;flat roof,stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus residential block, cubic white massing, recessed balcony niches, horizontal corner ribbon windows, flat parapet roof, bright natural sunlight, architectural photography","cubic massing, corner ribbon windows, recessed balconies, flat roof"
ARC_0039,Bauhaus architecture,Bauhaus architecture Building specimen 11,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003890.jpg,768x1024,0.75,planar white facade;steel-sash windows;cubic volumes;flat roof,smooth stucco;steel;glass,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus architecture, planar smooth white stucco facade, industrial steel-sash ribbon windows, flat roof terrace, cubic unornamented building volumes, bright daylight, architectural photography","planar white stucco, steel-sash windows, cubic volumes, flat roof"
ARC_0040,Bauhaus architecture,Bauhaus architecture Building specimen 12,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003928.jpg,1024x768,1.33,glass curtain wall;structural steel frame;geometric corners,structural steel;plate glass;stucco,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus school building, continuous floor-to-ceiling glass curtain wall, exposed structural steel framework, crisp geometric corners, unadorned white render, architectural photography","glass curtain wall, steel framework, geometric corners, white render"
ARC_0041,Bauhaus architecture,Bauhaus architecture Building specimen 13,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,003876.jpg,1024x768,1.33,overlapping volumes;cantilevered balconies;tubular railings;window bands,reinforced concrete;stucco;metal,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,True,,train,"Bauhaus modern residence, overlapping rectilinear volumes, cantilevered concrete balconies with tubular metal railings, horizontal window bands, clear daylight, architectural photography","cantilevered balconies, tubular metal railings, horizontal window bands, rectilinear volumes"
