image_id,style,source,source_url,license,copyright,provenance_status,notes
ARC_0011,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/a7/20241013_171013044_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 4.0).
ARC_0012,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/20241013_171550375_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 4.0).
ARC_0013,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/f/f9/20241013_164737561_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 4.0).
ARC_0014,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/9/9c/20241013_163115508_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 4.0).
ARC_0015,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/2/20/20241013_162541625_Milutina_Milankovi%C4%87a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY 4.0).
ARC_0016,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/c/ce/106_-_110_James_Street%2C_St._Catharines.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0017,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/68/2015-06-30_former_library_Doetinchem_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0018,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/8/8c/2015-06-30_former_library_Doetinchem_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0019,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/d/d7/Abraham_Lincoln_Building%2C_National_Agricultural_Library.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0020,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/0/09/Blok_mieszkalny_SPN.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC0).
ARC_0021,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/6c/Berlin_Wedding_bayer_parkhaus_14.11.2015_13-40-01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0022,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/e/ee/Az_%C3%BAj_k%C3%B6zpont_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 3.0).
ARC_0023,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/be/BenGurionUniversity.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 2.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 2.0).
ARC_0024,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/b/b0/Biberacher_Stra%C3%9Fe_39-93_%28Ulm-Wiblingen%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0025,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/a/aa/Alu%C5%A1tan_kaupunginvaltuuston_rakennus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (Public domain).
ARC_0026,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/67/Batten_Arts_and_Letters_building.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0027,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/6/64/1180_S_Beverly_Drive%2C_Los_Angeles.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 4.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 4.0).
ARC_0028,Brutalism architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://upload.wikimedia.org/wikipedia/commons/7/7b/720_Spadina_Avenue.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC BY-SA 3.0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Exact Wikimedia Commons file identified with verifiable upload URL and license (CC BY-SA 3.0).
ARC_0029,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0030,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0031,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0032,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0033,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0034,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0035,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0036,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0037,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0038,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0039,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0040,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0041,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0042,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0043,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0044,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0045,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0046,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0047,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0048,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0049,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0050,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0051,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0052,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0053,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0054,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0055,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0056,Bauhaus architecture,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0057,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0058,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0059,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0060,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0061,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0062,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0063,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0064,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0065,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0066,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0067,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
ARC_0068,International style,axel-riben/arcdataset-brutalism-extension (Wikimedia / Kaggle),https://huggingface.co/datasets/axel-riben/arcdataset-brutalism-extension,CC-BY-SA 4.0 / CC0,Wikimedia Commons / Architectural Styles Dataset,VERIFIED_FROM_METADATA,Curated Architectural Styles Dataset from Hugging Face / Wikimedia Commons (CC-BY-SA 4.0 / CC0).
